category,apps,median_installs,breakout,pct100k,score
Casino,5076,9229,6.68,22.91,84.43
Role Playing,10034,19404,11.54,33.24,82.16
Weather,7246,6851,7.87,22.73,81.93
Simulation,23282,23783,12.01,35.16,80.68
Racing,10362,5877,11.95,27.78,78.64
Card,8179,7301,6.35,22.85,78.41
Strategy,8526,2301,8.03,21.08,76.25
Word,8630,2229,5.14,15.82,76.14
Video Players & Editors,14015,7323,7.13,21.13,73.86
Photography,35552,3423,5.74,17.68,66.82
Board,10588,2250,4.72,15.41,66.48
Action,27555,1605,7.95,19.52,65.8
Adventure,23203,1842,4.8,14.97,63.18
Dating,6524,2677,2.59,11.57,61.48
Puzzle,51168,1025,3.73,11.32,59.89
Educational,21308,982,4.65,12.61,58.64
Personalization,89210,2297,2.08,10.56,58.3
Trivia,11795,1033,2.42,10.26,55.23
Casual,50813,502,5.08,13.43,50.8
Sports,47483,936,2.62,8.84,49.32
Tools,143988,1195,2.93,10.66,49.2
Entertainment,138276,1577,2.19,10.28,48.52
Finance,65466,1214,2.16,9.2,47.73
Social,44734,599,2.11,7.59,45.45
Books & Reference,116728,1571,0.7,6.38,44.43
Libraries & Demo,5198,518,1.54,6.69,42.16
News & Magazines,42807,960,1.04,5.98,41.59
Arcade,53792,237,3.05,7.62,41.14
Maps & Navigation,26722,925,1.77,7.69,39.89
Communication,48167,518,2.15,7.56,38.98
Art & Design,18539,760,1.36,6.62,37.95
Music & Audio,154906,703,0.93,4.99,35.91
Lifestyle,118331,461,1.07,6.3,32.16
Auto & Vehicles,18280,666,1.18,5.86,31.59
Productivity,79698,405,1.51,6.0,28.64
Education,241090,628,0.63,4.78,27.27
Shopping,75256,247,1.42,4.75,27.16
Beauty,11772,260,1.01,4.86,26.48
Travel & Local,67288,448,1.14,4.78,26.14
Events,12841,158,0.19,1.06,22.27
Medical,32065,438,0.52,4.11,20.8
Health & Fitness,83510,277,0.93,4.65,18.3
House & Home,14369,278,0.83,3.41,17.39
Food & Drink,73927,167,0.44,2.15,16.14
Business,143771,179,0.37,2.06,9.2
