vendornumber,vendorname,total_orders_placed,avg_purchase_quantity,total_purchase_quantity,total_purchase_dollars,total_freight,avg_days_order_to_invoice,avg_days_invoice_to_payment
2496,DUGGANS DISTILLED PRODUCTS ,55,342.0,18814.0,184296.5,939.2699999999998,16.22,34.13
3950,"HOOD RIVER DISTILLERS, Inc.",36,32.0,1137.0,24035.959999999995,117.52000000000001,16.08,35.08
90053,INCREDIBREW INC            ,52,54.0,2786.0,24525.839999999997,124.44000000000003,15.92,35.25
8112,MOET HENNESSY USA INC      ,55,7779.0,427867.0,9472995.2,48347.26,15.62,35.44
6355,NICHE W & S                ,55,169.0,9277.0,111031.77000000002,551.2099999999999,16.53,35.31
10754,PERFECTA WINES             ,55,10057.0,553116.0,5665501.530000001,28720.52,15.95,35.09
17035,PERNOD RICARD USA          ,55,29956.0,1647558.0,24124091.56,123780.21999999997,15.71,36.07
8004,SAZERAC CO INC             ,55,25777.0,1417727.0,9916770.259999998,50293.62000000002,16.24,35.73
8673,STE MICHELLE WINE ESTATES  ,55,7633.0,419822.0,3086650.7,15919.700000000003,16.65,34.51
28776,TALL SHIP DISTILLERY LLC   ,51,44.0,2236.0,48445.58,259.90000000000003,17.24,35.08
9751,VINEDREA WINES LLC         ,20,10.0,205.0,4657.599999999999,24.53,15.75,38.8
90010,VINEXTRA INC               ,55,155.0,8530.0,102639.51,524.9400000000002,15.84,34.98
90058,ZORVINO VINEYARDS          ,55,192.0,10550.0,86122.70999999999,448.6800000000001,16.55,34.29
7240,"PREMIUM PORT WINES, INC.   ",53,154.0,8167.0,59760.73999999999,301.2,15.66,35.77
90033,FANTASY FINE WINES CORP    ,2,12.0,24.0,128.64,0.61,19.0,29.0
5083,LOYAL DOG WINERY           ,3,80.0,240.0,2320.8,10.68,19.33,28.67
1128,BROWN-FORMAN CORP          ,55,18293.0,1006122.0,13529433.080000006,68601.68000000001,16.98,36.16
1590,DIAGEO CHATEAU ESTATE WINES,55,3415.0,187841.0,1365472.8299999996,7259.75,15.78,35.64
3960,DIAGEO NORTH AMERICA INC   ,55,99269.0,5459788.0,50959796.849999994,257032.07000000007,16.73,35.62
10000,MAJESTIC FINE WINES        ,55,8111.0,446119.0,3506668.63,17587.59,16.04,36.71
6785,PALM BAY INTERNATIONAL INC ,55,6831.0,375697.0,2693984.3300000005,13605.409999999998,15.84,36.16
8320,SHAW ROSS INT L IMP LTD    ,55,1257.0,69127.0,624979.6400000001,3151.9200000000014,17.2,34.49
3089,SIDNEY FRANK IMPORTING CO  ,55,3390.0,186464.0,1715908.8799999997,8549.550000000001,16.24,36.33
2000,SOUTHERN WINE & SPIRITS NE ,67,6073.0,406875.0,3740617.3799999994,19016.59,16.03,36.34
8892,TRINCHERO FAMILY ESTATES   ,55,6410.0,352526.0,2252211.31,11595.970000000003,16.09,33.95
