vendornumber,vendorname,brand,description,volume_ml,actualprice,purchaseprice,avg_sales_price,total_purchase_quantity,total_purchase_dollars,total_sales_quantity,total_sales_dollars,gross_profit,profit_margin_percent,stock_turnover,sales_to_purchase_ratio
17035,PERNOD RICARD USA          ,3728,Absolut Citron,1750.0,24.99,18.93,25.13,25959.0,491403.8700000029,26222.0,658689.780000006,167285.91000000306,25.4,1.01,1.34
3960,DIAGEO NORTH AMERICA INC   ,3757,Ketel One 325 Commemorative,1000.0,28.99,21.63,28.99,166.0,3590.5800000000004,538.0,15596.619999999995,12006.039999999995,76.98,3.24,4.34
2000,SOUTHERN WINE & SPIRITS NE ,37607,Hardys Shiraz Ausl,3000.0,19.99,9.39,15.26,1662.0,15606.179999999998,1687.0,25643.129999999932,10036.949999999933,39.14,1.02,1.64
9165,ULTRA BEVERAGE COMPANY LLP ,3762,Patron Silver Tequila,50.0,5.99,4.61,5.99,18781.0,86580.41000000002,18313.0,109694.86999999854,23114.459999998522,21.07,0.98,1.27
9165,ULTRA BEVERAGE COMPANY LLP ,3763,Patron Anejo Tequila,375.0,29.99,20.28,29.19,3113.0,63131.64,2933.0,85346.66999999955,22215.029999999548,26.03,0.94,1.35
9552,M S WALKER INC             ,3768,Jenkins Vodka,750.0,5.99,3.62,5.37,23649.0,85609.37999999993,23532.0,126608.67999999868,40999.29999999875,32.38,1.0,1.48
9815,WINE GROUP INC             ,37731,Corbett Canyon Chard,3000.0,12.99,6.7,11.73,10377.0,69525.89999999998,10284.0,119782.159999999,50256.25999999902,41.96,0.99,1.72
480,BACARDI USA INC            ,3782,Grey Goose Le Citron Vodka,750.0,23.99,18.89,24.72,7312.0,138123.68000000017,7572.0,186388.78000000084,48265.100000000675,25.89,1.04,1.35
4425,MARTIGNETTI COMPANIES,37826,Yellow Tail Cab Svgn Ausl,750.0,6.99,4.66,7.56,4215.0,19641.90000000001,4286.0,32392.139999999847,12750.239999999838,39.36,1.02,1.65
8352,LUXCO INC                  ,3793,Pearl Vodka PET,1750.0,17.99,11.8,13.94,313.0,3693.4000000000005,834.0,11463.660000000002,7770.260000000001,67.78,2.66,3.1
1392,CONSTELLATION BRANDS INC   ,38179,Rex Goliath Chard,750.0,7.99,4.13,6.27,3770.0,15570.099999999991,3792.0,23710.079999999936,8139.979999999945,34.33,1.01,1.52
4425,MARTIGNETTI COMPANIES,38369,Oyster Bay Pnt Nr Marlboro,750.0,14.99,9.0,15.49,3860.0,34740.0,3388.0,52515.119999999784,17775.119999999784,33.85,0.88,1.51
9552,M S WALKER INC             ,38542,Avalon Cab Svgn Cal,750.0,12.99,7.18,10.69,2283.0,16391.94,2266.0,24047.33999999996,7655.399999999961,31.83,0.99,1.47
9165,ULTRA BEVERAGE COMPANY LLP ,38549,Stemmari Nero D'Avola,750.0,6.99,4.82,7.67,8884.0,42820.880000000034,8782.0,66708.17999999959,23887.29999999955,35.81,0.99,1.56
480,BACARDI USA INC            ,3858,Grey Goose Vodka,750.0,23.99,17.77,24.57,138809.0,2466635.929999996,141860.0,3383912.399999957,917276.4699999611,27.11,1.02,1.37
